,notes,train_acc,train_loss,val_acc,val_loss
0,,0.36,0.4041,0.62,1.3240
1,,0.45,0.1468,0.60,1.5977
2,,0.49,0.0493,0.72,1.2604
3,,0.50,0.0214,0.70,1.5445
4,,0.50,0.0147,0.79,1.0390
5,,0.50,0.0132,0.73,1.4915
6,,0.50,0.0047,0.79,1.3309
7,,0.50,0.0042,0.68,1.4444
8,,0.50,0.0039,0.77,1.4860
9,,0.50,0.0039,0.75,1.8207
10,,0.50,0.0050,0.79,1.0093
11,,0.50,0.0038,0.67,2.3009
12,,0.50,0.0039,0.69,1.5499
13,,0.50,0.0028,0.79,0.9152
14,,0.50,0.0015,0.74,1.2771
15,created new SGD optimizer with LR: 0.00100000000000000002,0.50,0.0018,0.76,1.4426
16,,0.50,0.0022,0.78,1.3913
17,,0.50,0.0035,0.82,0.7716
18,,0.50,0.0013,0.80,0.7912
19,,0.50,0.0012,0.82,0.9623
20,,0.50,0.0021,0.82,1.0308
21,,0.50,0.0012,0.78,1.6191
22,,0.50,0.0009,0.75,1.5980
23,,0.50,0.0009,0.75,1.3603
24,,0.50,0.0015,0.75,1.7710
25,,0.50,0.0014,0.79,1.3895
26,,0.50,0.0009,0.76,1.7152
27,,0.50,0.0007,0.74,1.5661
28,,0.50,0.0009,0.81,0.9528
29,,0.50,0.0009,0.72,1.7876
30,,0.50,0.0008,0.80,1.4746
31,created new SGD optimizer with LR: 0.0001,0.50,0.0005,0.77,1.2731
32,,0.50,0.0008,0.80,0.8824
33,,0.50,0.0010,0.80,0.9882
34,,0.50,0.0009,0.81,0.9285
35,,0.50,0.0012,0.72,1.0477
36,,0.50,0.0006,0.83,0.9607
37,,0.50,0.0005,0.79,0.9254
38,,0.50,0.0007,0.76,1.0704
39,,0.50,0.0007,0.80,1.0743
40,,0.50,0.0006,0.71,1.7042
41,,0.50,0.0015,0.77,0.9012
42,,0.50,0.0007,0.79,1.5527
43,,0.50,0.0010,0.76,1.2325
44,,0.50,0.0012,0.79,0.9514
45,,0.50,0.0021,0.74,2.5538
46,,0.50,0.0010,0.72,2.5229
47,created new SGD optimizer with LR: 0.00001,0.50,0.0008,0.80,0.8667
48,,0.50,0.0005,0.82,1.0094
49,,0.50,0.0009,0.81,1.0660
50,,0.50,0.0005,0.75,1.5537
51,,0.50,0.0007,0.83,1.0000
52,,0.50,0.0006,0.71,1.8568
53,,0.50,0.0009,0.77,1.0875
54,,0.50,0.0007,0.70,1.6347
55,,0.50,0.0005,0.81,1.1154
56,,0.50,0.0016,0.81,0.8489
57,,0.50,0.0006,0.74,1.4174
58,,0.50,0.0007,0.80,1.3010
59,,0.50,0.0007,0.69,2.5500
60,,0.50,0.0012,0.77,1.6733
61,,0.50,0.0005,0.82,0.9246
62,,0.50,0.0006,0.79,1.4508
63,created new SGD optimizer with LR: 0.000001,0.50,0.0007,0.78,1.2351
64,,0.50,0.0007,0.80,0.8936
65,,0.50,0.0008,0.81,0.9540
66,,0.50,0.0006,0.76,1.0713
67,,0.50,0.0011,0.75,1.8828
68,,0.50,0.0023,0.75,1.3561
69,,0.50,0.0035,0.71,1.1905
70,,0.50,0.0008,0.76,1.6621
71,,0.50,0.0011,0.76,1.6534
72,,0.50,0.0006,0.78,1.3817
73,,0.50,0.0007,0.77,1.0630
74,,0.50,0.0009,0.74,1.3914
75,,0.50,0.0011,0.76,1.6399
76,,0.50,0.0008,0.80,0.9152
77,,0.50,0.0006,0.80,0.9378
78,,0.50,0.0018,0.74,1.4349
79,created new SGD optimizer with LR: 0.0000001,0.50,0.0007,0.78,1.2990
80,,0.50,0.0004,0.81,1.1166
81,,0.50,0.0025,0.72,2.5412
82,,0.50,0.0009,0.76,1.8399
83,,0.50,0.0041,0.79,1.1229
84,,0.50,0.0007,0.77,1.0578
85,,0.50,0.0008,0.80,0.9438
86,,0.50,0.0008,0.82,0.7054
87,,0.50,0.0020,0.81,0.9994
88,,0.50,0.0005,0.80,1.0657
89,,0.50,0.0005,0.83,0.8537
90,,0.50,0.0011,0.76,1.5345
91,,0.50,0.0006,0.80,0.9765
92,,0.50,0.0009,0.77,1.6662
93,,0.50,0.0010,0.80,1.0999
94,,0.50,0.0010,0.80,1.4857
95,created new SGD optimizer with LR: 0.00000001,0.50,0.0019,0.80,1.1233
96,,0.50,0.0008,0.74,1.6583
97,,0.50,0.0011,0.79,1.2937
98,,0.50,0.0017,0.74,1.9012
99,,0.50,0.0007,0.77,1.2245
