,notes,train_acc,train_loss,val_acc,val_loss
0,,0.27,0.6487,0.51,1.5493
1,,0.34,0.4331,0.68,1.1185
2,,0.42,0.2313,0.62,1.7194
3,,0.46,0.1243,0.70,1.4897
4,,0.48,0.0666,0.74,1.1545
5,,0.48,0.0547,0.75,1.4887
6,,0.49,0.0252,0.78,1.1025
7,,0.50,0.0099,0.75,1.4386
8,,0.50,0.0070,0.78,1.0548
9,,0.50,0.0111,0.68,1.9453
10,,0.49,0.0205,0.79,1.0619
11,,0.50,0.0082,0.77,1.5130
12,,0.50,0.0055,0.78,1.2813
13,,0.50,0.0046,0.74,1.4965
14,,0.50,0.0015,0.80,1.0648
15,created new SGD optimizer with LR: 0.00100000000000000002,0.50,0.0025,0.78,1.6660
16,,0.50,0.0031,0.82,1.1988
17,,0.50,0.0037,0.77,1.5259
18,,0.50,0.0024,0.81,1.2132
19,,0.50,0.0014,0.80,1.3396
20,,0.50,0.0019,0.78,1.4216
21,,0.50,0.0010,0.77,1.6403
22,,0.50,0.0011,0.79,1.0937
23,,0.50,0.0009,0.79,0.9386
24,,0.50,0.0019,0.78,1.4794
25,,0.50,0.0042,0.81,0.9466
26,,0.50,0.0016,0.81,1.1666
27,,0.50,0.0018,0.80,1.1040
28,,0.50,0.0006,0.79,1.3187
29,,0.50,0.0005,0.80,1.0562
30,,0.50,0.0010,0.79,1.4186
31,created new SGD optimizer with LR: 0.0001,0.50,0.0009,0.77,1.1746
32,,0.50,0.0027,0.80,1.3869
33,,0.50,0.0011,0.81,1.0019
34,,0.50,0.0020,0.78,1.6142
35,,0.50,0.0009,0.78,1.1009
36,,0.50,0.0012,0.77,1.2644
37,,0.50,0.0006,0.77,1.3698
38,,0.50,0.0019,0.79,1.1594
39,,0.50,0.0006,0.81,0.8904
40,,0.50,0.0011,0.78,1.4788
41,,0.50,0.0015,0.80,1.0898
42,,0.50,0.0014,0.79,1.3272
43,,0.50,0.0012,0.78,1.3017
44,,0.50,0.0011,0.82,0.9298
45,,0.50,0.0005,0.80,1.1356
46,,0.50,0.0023,0.81,1.1218
47,created new SGD optimizer with LR: 0.00001,0.50,0.0008,0.78,1.7403
48,,0.50,0.0005,0.80,1.0985
49,,0.50,0.0012,0.75,1.3913
50,,0.50,0.0009,0.80,1.2889
51,,0.50,0.0005,0.82,1.0474
52,,0.50,0.0006,0.78,1.0769
53,,0.50,0.0006,0.82,1.0496
54,,0.50,0.0016,0.79,1.3340
55,,0.50,0.0004,0.80,1.0482
56,,0.50,0.0006,0.79,1.2242
57,,0.50,0.0013,0.81,1.2053
58,,0.50,0.0008,0.78,1.3021
59,,0.50,0.0012,0.79,1.5908
60,,0.50,0.0006,0.79,1.1592
61,,0.50,0.0026,0.81,1.3515
62,,0.50,0.0046,0.80,1.2813
63,created new SGD optimizer with LR: 0.000001,0.50,0.0021,0.76,1.6360
64,,0.50,0.0009,0.81,1.0463
65,,0.50,0.0006,0.80,1.3793
66,,0.50,0.0005,0.80,1.0607
67,,0.50,0.0011,0.76,1.7038
68,,0.50,0.0017,0.79,1.1646
69,,0.50,0.0008,0.82,0.8911
70,,0.50,0.0020,0.74,1.4626
71,,0.50,0.0014,0.80,1.3120
72,,0.50,0.0021,0.79,1.1956
73,,0.50,0.0009,0.82,1.0095
74,,0.50,0.0007,0.81,1.1425
75,,0.50,0.0006,0.78,1.2156
76,,0.50,0.0008,0.73,1.7714
77,,0.50,0.0008,0.80,1.1271
78,,0.50,0.0016,0.81,1.2869
79,created new SGD optimizer with LR: 0.0000001,0.50,0.0016,0.76,1.6632
80,,0.50,0.0005,0.79,1.3069
81,,0.50,0.0006,0.81,1.1552
82,,0.50,0.0008,0.81,1.1757
83,,0.50,0.0022,0.79,1.0927
84,,0.50,0.0019,0.80,1.9224
85,,0.50,0.0010,0.77,1.4226
86,,0.50,0.0007,0.82,0.9847
87,,0.50,0.0009,0.80,0.9830
88,,0.50,0.0014,0.81,1.0475
89,,0.50,0.0007,0.81,1.0658
90,,0.50,0.0007,0.79,1.2253
91,,0.50,0.0006,0.79,1.2396
92,,0.50,0.0029,0.76,1.8286
93,,0.50,0.0007,0.76,1.5748
94,,0.50,0.0006,0.81,1.1316
95,created new SGD optimizer with LR: 0.00000001,0.50,0.0043,0.73,1.6707
96,,0.50,0.0014,0.79,2.3126
97,,0.50,0.0011,0.77,1.2874
98,,0.50,0.0008,0.80,1.2222
99,,0.50,0.0012,0.78,1.8181
