,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,0.1449,0.78,0.8909
1,,0.50,0.0143,0.87,0.4908
2,,0.50,0.0036,0.83,0.7776
3,,0.50,0.0022,0.84,0.5784
4,,0.50,0.0030,0.86,0.6494
5,,0.50,0.0042,0.86,0.6806
6,,0.50,0.0022,0.81,0.7708
7,,0.50,0.0022,0.86,0.6953
8,,0.50,0.0009,0.85,0.8562
9,,0.50,0.0009,0.85,0.5097
10,,0.50,0.0005,0.87,0.4610
11,,0.50,0.0003,0.86,0.5941
12,,0.50,0.0002,0.85,0.7310
13,,0.50,0.0002,0.85,0.5086
14,,0.50,0.0002,0.88,0.4583
15,created new SGD optimizer with LR: 0.00100000000000000002,0.50,0.0002,0.87,0.5892
16,,0.50,0.0003,0.88,0.5692
17,,0.50,0.0009,0.80,0.7919
18,,0.50,0.0005,0.84,0.6447
19,,0.50,0.0006,0.84,0.8271
20,,0.50,0.0006,0.83,0.8711
21,,0.50,0.0002,0.84,0.5636
22,,0.50,0.0004,0.87,0.6246
23,,0.50,0.0007,0.86,0.4505
24,,0.50,0.0004,0.85,0.6357
25,,0.50,0.0005,0.86,0.5135
26,,0.50,0.0004,0.84,0.5750
27,,0.50,0.0005,0.86,0.5416
28,,0.50,0.0007,0.89,0.5494
29,,0.50,0.0001,0.89,0.4289
30,,0.50,0.0002,0.84,0.6763
31,created new SGD optimizer with LR: 0.0001,0.50,0.0002,0.87,0.5032
32,,0.50,0.0003,0.90,0.3441
33,,0.50,0.0003,0.87,0.5195
34,,0.50,0.0002,0.87,0.4259
35,,0.50,0.0002,0.87,0.5953
36,,0.50,0.0002,0.85,0.6270
37,,0.50,0.0002,0.86,0.8254
38,,0.50,0.0003,0.86,0.7056
39,,0.50,0.0003,0.88,0.3949
40,,0.50,0.0002,0.90,0.4726
41,,0.50,0.0003,0.87,0.6163
42,,0.50,0.0009,0.82,0.8743
43,,0.50,0.0002,0.88,0.4126
44,,0.50,0.0002,0.88,0.5616
45,,0.50,0.0008,0.81,0.8963
46,,0.50,0.0003,0.87,0.5622
47,created new SGD optimizer with LR: 0.00001,0.50,0.0003,0.87,0.4837
48,,0.50,0.0001,0.85,0.7443
49,,0.50,0.0003,0.87,0.5517
50,,0.50,0.0002,0.86,0.5246
51,,0.50,0.0003,0.86,0.6020
52,,0.50,0.0005,0.85,0.5694
53,,0.50,0.0002,0.87,0.5077
54,,0.50,0.0002,0.87,0.6172
55,,0.50,0.0005,0.86,0.4191
56,,0.50,0.0004,0.80,1.1296
57,,0.50,0.0002,0.87,0.3630
58,,0.50,0.0002,0.87,0.5785
59,,0.50,0.0003,0.85,0.4820
60,,0.50,0.0002,0.87,0.5262
61,,0.50,0.0003,0.86,0.5672
62,,0.50,0.0011,0.81,0.9324
63,created new SGD optimizer with LR: 0.000001,0.50,0.0002,0.86,0.8229
64,,0.50,0.0002,0.84,0.5013
65,,0.50,0.0003,0.86,0.5455
66,,0.50,0.0001,0.84,0.7660
67,,0.50,0.0003,0.85,0.5659
68,,0.50,0.0003,0.84,0.9348
69,,0.50,0.0002,0.85,0.4930
70,,0.50,0.0003,0.88,0.4631
71,,0.50,0.0003,0.88,0.6221
72,,0.50,0.0002,0.86,0.6232
73,,0.50,0.0006,0.85,0.6396
74,,0.50,0.0001,0.87,0.6628
75,,0.50,0.0003,0.85,0.5270
76,,0.50,0.0003,0.84,0.8483
77,,0.50,0.0003,0.89,0.4767
78,,0.50,0.0003,0.88,0.3808
79,created new SGD optimizer with LR: 0.0000001,0.50,0.0002,0.86,0.6411
80,,0.50,0.0011,0.83,0.6806
81,,0.50,0.0003,0.87,0.5119
82,,0.50,0.0001,0.88,0.4383
83,,0.50,0.0004,0.85,0.8515
84,,0.50,0.0002,0.86,0.5673
85,,0.50,0.0002,0.86,0.4097
86,,0.50,0.0034,0.81,0.8792
87,,0.50,0.0003,0.82,0.9591
88,,0.50,0.0005,0.84,0.4692
89,,0.50,0.0002,0.89,0.3893
90,,0.50,0.0006,0.82,0.9669
91,,0.50,0.0003,0.86,0.5418
92,,0.50,0.0003,0.86,0.6023
93,,0.50,0.0006,0.85,0.6130
94,,0.50,0.0003,0.84,0.7019
95,created new SGD optimizer with LR: 0.00000001,0.50,0.0003,0.85,0.7124
96,,0.50,0.0001,0.88,0.4324
97,,0.50,0.0002,0.85,0.7158
98,,0.50,0.0001,0.82,0.6444
99,,0.50,0.0002,0.86,0.4536
