,notes,train_acc,train_loss,val_acc,val_loss
0,,0.90,0.3012,0.73,1.1584
1,,1.00,0.0220,0.85,0.7758
2,,1.00,0.0073,0.84,0.7139
3,,1.00,0.0048,0.86,0.5710
4,,1.00,0.0021,0.82,0.9299
5,,1.00,0.0028,0.84,0.6757
6,,1.00,0.0028,0.86,0.6799
7,,1.00,0.0096,0.86,0.7922
8,,1.00,0.0060,0.84,0.8137
9,,1.00,0.0043,0.85,0.5790
10,,1.00,0.0050,0.83,0.6756
11,,1.00,0.0026,0.87,0.6665
12,,1.00,0.0012,0.87,0.6118
13,,1.00,0.0018,0.81,0.7477
14,,1.00,0.0007,0.80,0.9510
15,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0006,0.86,0.6644
16,,1.00,0.0008,0.84,0.8361
17,,1.00,0.0008,0.85,0.7480
18,,1.00,0.0004,0.85,0.8803
19,,1.00,0.0008,0.87,0.6050
20,,1.00,0.0009,0.88,0.5164
21,,1.00,0.0009,0.86,0.5581
22,,1.00,0.0010,0.87,0.8948
23,,1.00,0.0003,0.86,0.6625
24,,1.00,0.0003,0.81,0.9299
25,,1.00,0.0011,0.84,0.9612
26,,1.00,0.0005,0.82,0.8934
27,,1.00,0.0019,0.83,0.6888
28,,1.00,0.0005,0.85,0.6450
29,,1.00,0.0005,0.87,0.7120
30,,1.00,0.0004,0.88,0.5070
31,created new SGD optimizer with LR: 0.0001,1.00,0.0004,0.82,0.6949
32,,1.00,0.0003,0.88,0.5074
33,,1.00,0.0013,0.89,0.5392
34,,1.00,0.0006,0.89,0.5402
35,,1.00,0.0006,0.84,0.8272
36,,1.00,0.0011,0.88,0.5885
37,,1.00,0.0024,0.85,0.7851
38,,1.00,0.0003,0.85,0.6512
39,,1.00,0.0005,0.85,0.7441
40,,1.00,0.0002,0.82,0.7889
41,,1.00,0.0006,0.88,0.6631
42,,1.00,0.0039,0.87,0.7939
43,,1.00,0.0005,0.88,0.4904
44,,1.00,0.0005,0.85,0.7850
45,,1.00,0.0005,0.86,0.5154
46,,1.00,0.0004,0.89,0.4655
47,created new SGD optimizer with LR: 0.00001,1.00,0.0011,0.87,0.5392
48,,1.00,0.0005,0.87,0.5223
49,,1.00,0.0007,0.89,0.4467
